OBJECTID,type_,desc_type,nom_plant,culture,echelle,province,nom_acquer,etat_plant,sup_adm_ha,sup_sig_ha,created_user,created_date,last_edited_user,last_edited_date,globalid,proprietaire,note,Shape__Area,Shape__Length
81,5120000,Culture pérenne,Site Agroforestier de Mazinga,Acacia,Agroforesterie communautaire,, ,Abandonné,25,,USER,2019/11/19 10:10:14+00,USER,2019/11/19 10:10:49+00,40dbf320-49c1-45e9-ac86-b15ec77be647,CPDA,Limites d'origine non détectables sur imagerie,255714.910522461,2623.41219230966
82,5120000,Culture pérenne, ,Palmier,De 30 à 100 hectares,, ,Abandonné,94,,USER,2019/11/19 10:10:14+00,USER,2019/11/19 10:10:49+00,0f766041-91ba-4c1e-939f-1d10afd071d4, , ,940003.189086914,5611.79832142783
83,5120000,Culture pérenne, , ,De 100 à 1000 hectares,, ,Abandonné,280,,USER,2019/11/19 10:10:14+00,USER,2019/11/19 10:10:49+00,d174acda-3176-46c1-afaa-3d8a22ab4883, , ,2796482.60658264,7465.58207401853
84,5120000,Culture pérenne, , ,De 100 à 1000 hectares,, ,Abandonné,785,,USER,2019/11/19 10:10:14+00,USER,2019/11/19 10:10:49+00,74122a65-e039-4ef0-9c0b-8a3ef3e4e555, , ,7855215.5763092,12795.6238526995
85,5120000,Culture pérenne, , ,De 10 à 30 hectares,, ,N.I.,14,,USER,2019/11/19 10:10:14+00,USER,2019/11/19 10:10:49+00,0aca85d8-451a-44ef-8ba9-7b71a4bc3fc3, , ,141940.016342163,1596.99925660797
86,5120000,Culture pérenne, , ,De 100 à 1000 hectares,, ,Abandonné,188,,USER,2019/11/19 10:10:14+00,USER,2019/11/19 10:10:49+00,cc98e4c1-ba5b-4687-b5e5-76a69b4298ae, , ,1882416.49975586,10489.0233760448
87,5120000,Culture pérenne, , ,De 100 à 1000 hectares,, ,Abandonné,412,,USER,2019/11/19 10:10:14+00,USER,2019/11/19 10:10:49+00,f34054c3-9fca-415b-9dcf-486806f15822, , ,4127634.67822266,12773.6173669922
88,5120000,Culture pérenne, , ,De 100 à 1000 hectares,, ,Abandonné,142,,USER,2019/11/19 10:10:14+00,USER,2019/11/19 10:10:49+00,61b0f69b-0af4-47ed-8e8f-a8507dc2f25f, , ,1415442.27027893,6300.4928657771
89,5120000,Culture pérenne,Site Agroforestier de Nto sawula,Acacia,Agroforesterie communautaire,, ,Abandonné,34,,USER,2019/11/19 10:10:14+00,USER,2019/11/19 10:10:49+00,c28ea87a-06fc-41c2-908b-67e1474ac3ec,CPDA,Limites d'origine non détectables sur imagerie,346050.619873047,2790.45840449352
90,5120000,Culture pérenne, , ,De 100 à 1000 hectares,, ,Abandonné,129,,USER,2019/11/19 10:10:14+00,USER,2019/11/19 10:10:49+00,d478d53d-9c93-4df2-b106-3e8032e4c722, ,Limites d'origine non détectables sur imagerie,1294158.24609375,4737.78995905551
